sequence,mean,worst,prob_catastrophic,prob_moderate_harm,prob_toxicity,var01,cvar01,var05,cvar05,var10,cvar10,var25,cvar25,wowa_mild,wowa_balanced,wowa_severe,robust20,viol_catastrophic,violation_score,feasible
beam_A|beam_A,5615.5,10189.0,0.55,0.55,0.55,10189.0,10189.0,10189.0,10189.0,10189.0,10189.0,10189.0,10189.0,7293.787270463309,8618.704443061333,9912.019538571298,10189.0,0.55,550000.0,False
beam_A|beam_B,8653.0,10174.0,1.0,1.0,0.1,10174.0,10174.0,10174.0,10174.0,8484.0,10174.0,8484.0,9160.0,8942.3110412617,9166.725853004787,9663.600429734988,9329.0,1.0,1000000.0,False
beam_A|whole_region,6503.5,10234.0,0.55,1.0,1.0,10234.0,10234.0,10234.0,10234.0,10141.5,10234.0,10141.5,10178.5,7670.847941269432,8629.062632645982,9843.673426603122,10187.75,0.55,550000.0,False
beam_A|pause,8501.25,8549.0,1.0,1.0,0.0,8549.0,8549.0,8549.0,8549.0,8549.0,8549.0,8549.0,8549.0,8518.19025843358,8532.025352399252,8545.780626366006,8549.0,1.0,1000000.0,False
beam_B|beam_A,8653.0,10174.0,1.0,1.0,0.1,10174.0,10174.0,10174.0,10174.0,8484.0,10174.0,8484.0,9160.0,8942.3110412617,9166.725853004787,9663.600429734988,9329.0,1.0,1000000.0,False
beam_B|beam_B,5615.5,10189.0,0.55,0.55,0.55,10189.0,10189.0,10189.0,10189.0,10189.0,10189.0,10189.0,10189.0,7293.787270463309,8618.704443061333,9912.019538571298,10189.0,0.55,550000.0,False
beam_B|whole_region,6503.5,10234.0,0.55,1.0,1.0,10234.0,10234.0,10234.0,10234.0,10141.5,10234.0,10141.5,10178.5,7670.847941269432,8629.062632645982,9843.673426603122,10187.75,0.55,550000.0,False
beam_B|pause,8501.25,8549.0,1.0,1.0,0.0,8549.0,8549.0,8549.0,8549.0,8549.0,8549.0,8549.0,8549.0,8518.19025843358,8532.025352399252,8545.780626366006,8549.0,1.0,1000000.0,False
whole_region|beam_A,6503.5,10234.0,0.55,1.0,1.0,10234.0,10234.0,10234.0,10234.0,10141.5,10234.0,10141.5,10178.5,7670.847941269432,8629.062632645982,9843.673426603122,10187.75,0.55,550000.0,False
whole_region|beam_B,6503.5,10234.0,0.55,1.0,1.0,10234.0,10234.0,10234.0,10234.0,10141.5,10234.0,10141.5,10178.5,7670.847941269432,8629.062632645982,9843.673426603122,10187.75,0.55,550000.0,False
whole_region|whole_region,2914.0,10294.0,0.1,1.0,1.0,10294.0,10294.0,10294.0,10294.0,2094.0,10294.0,2094.0,5374.0,4317.7577149976,5406.634316354596,7817.50504368455,6194.000000000001,0.1,100000.0,False
whole_region|pause,10111.75,10204.0,1.0,1.0,1.0,10204.0,10204.0,10204.0,10204.0,10101.5,10204.0,10101.5,10142.5,10129.296971437469,10142.90792895443,10173.043813046059,10152.75,1.0,1000000.0,False
pause|beam_A,8503.5,8551.5,1.0,1.0,0.0,8551.5,8551.5,8551.5,8551.5,8551.5,8551.5,8551.5,8551.5,8520.231668402424,8534.140315012506,8548.096477677767,8551.5,1.0,1000000.0,False
pause|beam_B,8503.5,8551.5,1.0,1.0,0.0,8551.5,8551.5,8551.5,8551.5,8551.5,8551.5,8551.5,8551.5,8520.231668402424,8534.140315012506,8548.096477677767,8551.5,1.0,1000000.0,False
pause|whole_region,10114.0,10204.0,1.0,1.0,1.0,10204.0,10204.0,10204.0,10204.0,10104.0,10204.0,10104.0,10144.0,10131.118996524361,10144.397979467736,10173.798841996153,10154.0,1.0,1000000.0,False
pause|pause,8514.0,8514.0,1.0,1.0,0.0,8514.0,8514.0,8514.0,8514.0,8514.0,8514.0,8514.0,8514.0,8514.000000000002,8514.0,8514.0,8514.0,1.0,1000000.0,False
