sequence,mean,worst,prob_catastrophic,prob_moderate_harm,prob_toxicity,var01,cvar01,var05,cvar05,var10,cvar10,var25,cvar25,wowa_mild,wowa_balanced,wowa_severe,robust20,viol_catastrophic,viol_toxicity,violation_score,feasible
beam_A|beam_A,5109.0,10189.0,0.5,0.5,0.5,10189.0,10189.0,10189.0,10189.0,10189.0,10189.0,10189.0,10189.0,6646.765425007112,8335.55667812742,9891.18773556622,10189.0,0.5,0.5,1000000.0,False
beam_A|beam_B,8484.0,8484.0,1.0,1.0,0.0,8484.0,8484.0,8484.0,8484.0,8484.0,8484.0,8484.0,8484.0,8484.000000000002,8484.0,8484.0,8484.0,1.0,0.0,1000000.0,False
beam_A|whole_region,6089.0,10141.5,0.5,1.0,1.0,10141.5,10141.5,10141.5,10141.5,10141.5,10141.5,10141.5,10141.5,7315.73117811837,8662.941129549481,9903.924369760258,10141.5,0.5,1.0,1500000.0,False
beam_A|pause,8496.5,8549.0,1.0,1.0,0.0,8549.0,8549.0,8549.0,8549.0,8549.0,8549.0,8549.0,8549.0,8512.392260789937,8529.845320000333,8545.922215771108,8549.0,1.0,0.0,1000000.0,False
beam_B|beam_A,8484.0,8484.0,1.0,1.0,0.0,8484.0,8484.0,8484.0,8484.0,8484.0,8484.0,8484.0,8484.0,8484.000000000002,8484.0,8484.0,8484.0,1.0,0.0,1000000.0,False
beam_B|beam_B,5109.0,10189.0,0.5,0.5,0.5,10189.0,10189.0,10189.0,10189.0,10189.0,10189.0,10189.0,10189.0,6646.765425007112,8335.55667812742,9891.18773556622,10189.0,0.5,0.5,1000000.0,False
beam_B|whole_region,6089.0,10141.5,0.5,1.0,1.0,10141.5,10141.5,10141.5,10141.5,10141.5,10141.5,10141.5,10141.5,7315.73117811837,8662.941129549481,9903.924369760258,10141.5,0.5,1.0,1500000.0,False
beam_B|pause,8496.5,8549.0,1.0,1.0,0.0,8549.0,8549.0,8549.0,8549.0,8549.0,8549.0,8549.0,8549.0,8512.392260789937,8529.845320000333,8545.922215771108,8549.0,1.0,0.0,1000000.0,False
whole_region|beam_A,6089.0,10141.5,0.5,1.0,1.0,10141.5,10141.5,10141.5,10141.5,10141.5,10141.5,10141.5,10141.5,7315.73117811837,8662.941129549481,9903.924369760258,10141.5,0.5,1.0,1500000.0,False
whole_region|beam_B,6089.0,10141.5,0.5,1.0,1.0,10141.5,10141.5,10141.5,10141.5,10141.5,10141.5,10141.5,10141.5,7315.73117811837,8662.941129549481,9903.924369760258,10141.5,0.5,1.0,1500000.0,False
whole_region|whole_region,2094.0,2094.0,0.0,1.0,1.0,2094.0,2094.0,2094.0,2094.0,2094.0,2094.0,2094.0,2094.0,2094.0,2094.0,2094.0,2094.0,0.0,1.0,1000000.0,False
whole_region|pause,10101.5,10101.5,1.0,1.0,1.0,10101.5,10101.5,10101.5,10101.5,10101.5,10101.5,10101.5,10101.5,10101.500000000002,10101.5,10101.5,10101.5,1.0,1.0,2000000.0,False
pause|beam_A,8499.0,8551.5,1.0,1.0,0.0,8551.5,8551.5,8551.5,8551.5,8551.5,8551.5,8551.5,8551.5,8514.892260789937,8532.345320000333,8548.422215771108,8551.5,1.0,0.0,1000000.0,False
pause|beam_B,8499.0,8551.5,1.0,1.0,0.0,8551.5,8551.5,8551.5,8551.5,8551.5,8551.5,8551.5,8551.5,8514.892260789937,8532.345320000333,8548.422215771108,8551.5,1.0,0.0,1000000.0,False
pause|whole_region,10104.0,10104.0,1.0,1.0,1.0,10104.0,10104.0,10104.0,10104.0,10104.0,10104.0,10104.0,10104.0,10104.000000000002,10104.0,10104.0,10104.0,1.0,1.0,2000000.0,False
pause|pause,8514.0,8514.0,1.0,1.0,0.0,8514.0,8514.0,8514.0,8514.0,8514.0,8514.0,8514.0,8514.0,8514.0,8514.0,8514.000000000002,8514.0,1.0,0.0,1000000.0,False
