sequence,mean,worst,prob_catastrophic,prob_degraded,prob_rejected,var01,cvar01,var05,cvar05,var10,cvar10,var25,cvar25,wowa_mild,wowa_balanced,wowa_severe,robust20,viol_catastrophic,viol_degraded,violation_score,feasible
process_A|process_A,5439.0,10849.0,0.5,0.5,0.5,10849.0,10849.0,10849.0,10849.0,10849.0,10849.0,10849.0,10849.0,7076.659635686708,8875.155832415225,10531.841663270325,10849.0,0.5,0.5,1000000.0,False
process_A|process_B,10354.0,10354.0,1.0,0.0,1.0,10354.0,10354.0,10354.0,10354.0,10354.0,10354.0,10354.0,10354.0,10354.000000000002,10354.0,10354.000000000002,10354.0,1.0,0.0,1000000.0,False
process_A|overprocess,5749.0,10801.5,0.5,1.0,1.0,10801.5,10801.5,10801.5,10801.5,10801.5,10801.5,10801.5,10801.5,7278.440907450478,8958.090081936769,10505.299908257546,10801.5,0.5,1.0,1500000.0,False
process_A|hold,10366.5,10419.0,1.0,0.0,1.0,10419.0,10419.0,10419.0,10419.0,10419.0,10419.0,10419.0,10419.0,10382.392260789937,10399.845320000333,10415.922215771108,10419.0,1.0,0.0,1000000.0,False
process_B|process_A,10354.0,10354.0,1.0,0.0,1.0,10354.0,10354.0,10354.0,10354.0,10354.0,10354.0,10354.0,10354.0,10354.000000000002,10354.0,10354.000000000002,10354.0,1.0,0.0,1000000.0,False
process_B|process_B,5439.0,10849.0,0.5,0.5,0.5,10849.0,10849.0,10849.0,10849.0,10849.0,10849.0,10849.0,10849.0,7076.659635686708,8875.155832415225,10531.841663270325,10849.0,0.5,0.5,1000000.0,False
process_B|overprocess,5749.0,10801.5,0.5,1.0,1.0,10801.5,10801.5,10801.5,10801.5,10801.5,10801.5,10801.5,10801.5,7278.440907450478,8958.090081936769,10505.299908257546,10801.5,0.5,1.0,1500000.0,False
process_B|hold,10366.5,10419.0,1.0,0.0,1.0,10419.0,10419.0,10419.0,10419.0,10419.0,10419.0,10419.0,10419.0,10382.392260789937,10399.845320000333,10415.922215771108,10419.0,1.0,0.0,1000000.0,False
overprocess|process_A,5749.0,10801.5,0.5,1.0,1.0,10801.5,10801.5,10801.5,10801.5,10801.5,10801.5,10801.5,10801.5,7278.440907450478,8958.090081936769,10505.299908257546,10801.5,0.5,1.0,1500000.0,False
overprocess|process_B,5749.0,10801.5,0.5,1.0,1.0,10801.5,10801.5,10801.5,10801.5,10801.5,10801.5,10801.5,10801.5,7278.440907450478,8958.090081936769,10505.299908257546,10801.5,0.5,1.0,1500000.0,False
overprocess|overprocess,754.0,754.0,0.0,1.0,1.0,754.0,754.0,754.0,754.0,754.0,754.0,754.0,754.0,754.0000000000001,754.0,754.0,754.0,0.0,1.0,1000000.0,False
overprocess|hold,10761.5,10761.5,1.0,1.0,1.0,10761.5,10761.5,10761.5,10761.5,10761.5,10761.5,10761.5,10761.5,10761.500000000002,10761.5,10761.5,10761.5,1.0,1.0,2000000.0,False
hold|process_A,10369.0,10421.5,1.0,0.0,1.0,10421.5,10421.5,10421.5,10421.5,10421.5,10421.5,10421.5,10421.5,10384.892260789937,10402.345320000333,10418.422215771108,10421.5,1.0,0.0,1000000.0,False
hold|process_B,10369.0,10421.5,1.0,0.0,1.0,10421.5,10421.5,10421.5,10421.5,10421.5,10421.5,10421.5,10421.5,10384.892260789937,10402.345320000333,10418.422215771108,10421.5,1.0,0.0,1000000.0,False
hold|overprocess,10764.0,10764.0,1.0,1.0,1.0,10764.0,10764.0,10764.0,10764.0,10764.0,10764.0,10764.0,10764.0,10764.000000000002,10764.0,10764.0,10764.0,1.0,1.0,2000000.0,False
hold|hold,10384.0,10384.0,1.0,0.0,1.0,10384.0,10384.0,10384.0,10384.0,10384.0,10384.0,10384.0,10384.0,10384.000000000002,10384.0,10384.0,10384.0,1.0,0.0,1000000.0,False
