sequence,mean,worst,prob_catastrophic,prob_immune,prob_no_benefit,prob_offtarget,var01,cvar01,var05,cvar05,var10,cvar10,var25,cvar25,wowa_mild,wowa_balanced,wowa_severe,robust20,viol_catastrophic,viol_offtarget,viol_immune,violation_score,feasible
vector_A|vector_A,8234.0,16439.0,0.5,0.5,0.5,0.5,16439.0,16439.0,16439.0,16439.0,16439.0,16439.0,16439.0,16439.0,10717.733329169952,13445.397154337692,15957.986293370244,16439.0,0.5,0.5,0.5,1500000.0,False
vector_A|vector_B,11134.0,11134.0,1.0,0.0,1.0,0.0,11134.0,11134.0,11134.0,11134.0,11134.0,11134.0,11134.0,11134.0,11134.000000000002,11134.0,11134.000000000002,11134.0,1.0,0.0,0.0,1000000.0,False
vector_A|broad_vector,16339.0,16391.5,1.0,1.0,1.0,1.0,16391.5,16391.5,16391.5,16391.5,16391.5,16391.5,16391.5,16391.5,16354.892260789937,16372.345320000331,16388.42221577111,16391.5,1.0,1.0,1.0,3000000.0,False
vector_A|pause,11146.5,11199.0,1.0,0.0,1.0,0.0,11199.0,11199.0,11199.0,11199.0,11199.0,11199.0,11199.0,11199.0,11162.392260789937,11179.845320000333,11195.922215771108,11199.0,1.0,0.0,0.0,1000000.0,False
vector_B|vector_A,11134.0,11134.0,1.0,0.0,1.0,0.0,11134.0,11134.0,11134.0,11134.0,11134.0,11134.0,11134.0,11134.0,11134.000000000002,11134.0,11134.000000000002,11134.0,1.0,0.0,0.0,1000000.0,False
vector_B|vector_B,8234.0,16439.0,0.5,0.5,0.5,0.5,16439.0,16439.0,16439.0,16439.0,16439.0,16439.0,16439.0,16439.0,10717.733329169952,13445.397154337692,15957.986293370244,16439.0,0.5,0.5,0.5,1500000.0,False
vector_B|broad_vector,16339.0,16391.5,1.0,1.0,1.0,1.0,16391.5,16391.5,16391.5,16391.5,16391.5,16391.5,16391.5,16391.5,16354.892260789937,16372.345320000331,16388.42221577111,16391.5,1.0,1.0,1.0,3000000.0,False
vector_B|pause,11146.5,11199.0,1.0,0.0,1.0,0.0,11199.0,11199.0,11199.0,11199.0,11199.0,11199.0,11199.0,11199.0,11162.392260789937,11179.845320000333,11195.922215771108,11199.0,1.0,0.0,0.0,1000000.0,False
broad_vector|vector_A,16339.0,16391.5,1.0,1.0,1.0,1.0,16391.5,16391.5,16391.5,16391.5,16391.5,16391.5,16391.5,16391.5,16354.892260789937,16372.345320000331,16388.42221577111,16391.5,1.0,1.0,1.0,3000000.0,False
broad_vector|vector_B,16339.0,16391.5,1.0,1.0,1.0,1.0,16391.5,16391.5,16391.5,16391.5,16391.5,16391.5,16391.5,16391.5,16354.892260789937,16372.345320000331,16388.42221577111,16391.5,1.0,1.0,1.0,3000000.0,False
broad_vector|broad_vector,16344.0,16344.0,1.0,1.0,1.0,1.0,16344.0,16344.0,16344.0,16344.0,16344.0,16344.0,16344.0,16344.0,16344.000000000002,16344.0,16344.0,16344.0,1.0,1.0,1.0,3000000.0,False
broad_vector|pause,16351.5,16351.5,1.0,1.0,1.0,1.0,16351.5,16351.500000000002,16351.5,16351.5,16351.5,16351.5,16351.5,16351.5,16351.500000000002,16351.5,16351.500000000002,16351.5,1.0,1.0,1.0,3000000.0,False
pause|vector_A,11149.0,11201.5,1.0,0.0,1.0,0.0,11201.5,11201.5,11201.5,11201.5,11201.5,11201.5,11201.5,11201.5,11164.892260789937,11182.345320000333,11198.422215771108,11201.5,1.0,0.0,0.0,1000000.0,False
pause|vector_B,11149.0,11201.5,1.0,0.0,1.0,0.0,11201.5,11201.5,11201.5,11201.5,11201.5,11201.5,11201.5,11201.5,11164.892260789937,11182.345320000333,11198.422215771108,11201.5,1.0,0.0,0.0,1000000.0,False
pause|broad_vector,16354.0,16354.0,1.0,1.0,1.0,1.0,16354.0,16353.999999999998,16354.0,16354.0,16354.0,16354.0,16354.0,16354.0,16354.000000000002,16354.0,16354.000000000002,16354.0,1.0,1.0,1.0,3000000.0,False
pause|pause,11164.0,11164.0,1.0,0.0,1.0,0.0,11164.0,11164.0,11164.0,11164.0,11164.0,11164.0,11164.0,11164.0,11164.000000000002,11164.0,11164.0,11164.0,1.0,0.0,0.0,1000000.0,False
