sequence,mean,worst,prob_catastrophic,prob_degraded,prob_rejected,prob_shortage,var01,cvar01,var05,cvar05,var10,cvar10,var25,cvar25,wowa_mild,wowa_balanced,wowa_severe,robust20,viol_catastrophic,violation_score,feasible
cycle_A|cycle_A,5472.5,9929.0,0.55,0.55,0.55,0.55,9929.0,9929.0,9929.0,9929.0,9929.0,9929.0,9929.0,9929.0,7107.806946568716,8398.830051966917,9659.079346447066,9929.0,0.55,550000.0,False
cycle_A|cycle_B,9419.0,9914.0,1.0,0.1,1.0,1.0,9914.0,9914.0,9914.0,9914.0,9364.0,9914.0,9364.0,9584.0,9513.154480883984,9586.188887072563,9747.893630978842,9639.0,1.0,1000000.0,False
cycle_A|overkill,5793.5,9974.0,0.55,1.0,1.0,1.0,9974.0,9974.0,9974.0,9974.0,9881.5,9974.0,9881.5,9918.5,7102.922323685768,8177.846655056633,9538.961458405303,9927.75,0.55,550000.0,False
cycle_A|hold,9381.25,9429.0,1.0,0.0,1.0,1.0,9429.0,9429.0,9429.0,9429.0,9429.0,9429.0,9429.0,9429.0,9398.190258433582,9412.025352399252,9425.780626366004,9429.0,1.0,1000000.0,False
cycle_B|cycle_A,9419.0,9914.0,1.0,0.1,1.0,1.0,9914.0,9914.0,9914.0,9914.0,9364.0,9914.0,9364.0,9584.0,9513.154480883984,9586.188887072563,9747.893630978842,9639.0,1.0,1000000.0,False
cycle_B|cycle_B,5472.5,9929.0,0.55,0.55,0.55,0.55,9929.0,9929.0,9929.0,9929.0,9929.0,9929.0,9929.0,9929.0,7107.806946568716,8398.830051966917,9659.079346447066,9929.0,0.55,550000.0,False
cycle_B|overkill,5793.5,9974.0,0.55,1.0,1.0,1.0,9974.0,9974.0,9974.0,9974.0,9881.5,9974.0,9881.5,9918.5,7102.922323685768,8177.846655056633,9538.961458405303,9927.75,0.55,550000.0,False
cycle_B|hold,9381.25,9429.0,1.0,0.0,1.0,1.0,9429.0,9429.0,9429.0,9429.0,9429.0,9429.0,9429.0,9429.0,9398.190258433582,9412.025352399252,9425.780626366004,9429.0,1.0,1000000.0,False
overkill|cycle_A,5793.5,9974.0,0.55,1.0,1.0,1.0,9974.0,9974.0,9974.0,9974.0,9881.5,9974.0,9881.5,9918.5,7102.922323685768,8177.846655056633,9538.961458405303,9927.75,0.55,550000.0,False
overkill|cycle_B,5793.5,9974.0,0.55,1.0,1.0,1.0,9974.0,9974.0,9974.0,9974.0,9881.5,9974.0,9881.5,9918.5,7102.922323685768,8177.846655056633,9538.961458405303,9927.75,0.55,550000.0,False
overkill|overkill,1754.0,10034.0,0.1,1.0,1.0,1.0,10034.0,10034.0,10034.0,10034.0,834.0,10034.0,834.0,4514.0,3328.9476802412096,4550.614111031986,7255.493463646079,5434.000000000001,0.1,100000.0,False
overkill|hold,9851.75,9944.0,1.0,1.0,1.0,1.0,9944.0,9944.0,9944.0,9944.0,9841.5,9944.0,9841.5,9882.5,9869.29697143747,9882.90792895443,9913.043813046057,9892.75,1.0,1000000.0,False
hold|cycle_A,9383.5,9431.5,1.0,0.0,1.0,1.0,9431.5,9431.5,9431.5,9431.5,9431.5,9431.5,9431.5,9431.5,9400.231668402424,9414.140315012506,9428.09647767777,9431.5,1.0,1000000.0,False
hold|cycle_B,9383.5,9431.5,1.0,0.0,1.0,1.0,9431.5,9431.5,9431.5,9431.5,9431.5,9431.5,9431.5,9431.5,9400.231668402424,9414.140315012506,9428.09647767777,9431.5,1.0,1000000.0,False
hold|overkill,9854.0,9944.0,1.0,1.0,1.0,1.0,9944.0,9944.0,9944.0,9944.0,9844.0,9944.0,9844.0,9884.0,9871.118996524361,9884.397979467738,9913.798841996155,9894.0,1.0,1000000.0,False
hold|hold,9394.0,9394.0,1.0,0.0,1.0,1.0,9394.0,9394.0,9394.0,9394.0,9394.0,9394.0,9394.0,9394.0,9394.000000000002,9393.999999999998,9394.0,9394.0,1.0,1000000.0,False
