instance,selector,sequence,selector_score,num_sequences,feasible_count,feasible_fraction,runtime_sec,mean,worst,prob_catastrophic,prob_degraded,prob_rejected,prob_shortage,var01,cvar01,var05,cvar05,var10,cvar10,var25,cvar25,wowa_mild,wowa_balanced,wowa_severe,robust20,viol_catastrophic,viol_degraded,viol_shortage,violation_score,feasible
bsp_stress_unobservable,mean,overkill|overkill,834.0,16,0,0.0,0.009511947631835938,834.0,834.0,0.0,1.0,1.0,1.0,834.0,834.0,834.0,834.0,834.0,834.0,834.0,834.0,834.0000000000001,834.0,834.0000000000001,834.0,0.0,1.0,1.0,2000000.0,False
bsp_stress_unobservable,null_pomdp_mean,overkill|overkill,834.0,16,0,0.0,0.009738683700561523,834.0,834.0,0.0,1.0,1.0,1.0,834.0,834.0,834.0,834.0,834.0,834.0,834.0,834.0,834.0000000000001,834.0,834.0000000000001,834.0,0.0,1.0,1.0,2000000.0,False
bsp_stress_unobservable,replan_no_feedback,overkill|overkill,834.0,16,0,0.0,0.009966850280761719,834.0,834.0,0.0,1.0,1.0,1.0,834.0,834.0,834.0,834.0,834.0,834.0,834.0,834.0,834.0000000000001,834.0,834.0000000000001,834.0,0.0,1.0,1.0,2000000.0,False
bsp_stress_unobservable,worst,overkill|overkill,834.0,16,0,0.0,0.010191202163696289,834.0,834.0,0.0,1.0,1.0,1.0,834.0,834.0,834.0,834.0,834.0,834.0,834.0,834.0,834.0000000000001,834.0,834.0000000000001,834.0,0.0,1.0,1.0,2000000.0,False
bsp_stress_unobservable,chance,overkill|overkill,834.0,16,0,0.0,0.010417938232421875,834.0,834.0,0.0,1.0,1.0,1.0,834.0,834.0,834.0,834.0,834.0,834.0,834.0,834.0,834.0000000000001,834.0,834.0000000000001,834.0,0.0,1.0,1.0,2000000.0,False
bsp_stress_unobservable,robust20,overkill|overkill,834.0,16,0,0.0,0.010605573654174805,834.0,834.0,0.0,1.0,1.0,1.0,834.0,834.0,834.0,834.0,834.0,834.0,834.0,834.0,834.0000000000001,834.0,834.0000000000001,834.0,0.0,1.0,1.0,2000000.0,False
bsp_stress_unobservable,cvar01,overkill|overkill,834.0,16,0,0.0,0.010802030563354492,834.0,834.0,0.0,1.0,1.0,1.0,834.0,834.0,834.0,834.0,834.0,834.0,834.0,834.0,834.0000000000001,834.0,834.0000000000001,834.0,0.0,1.0,1.0,2000000.0,False
bsp_stress_unobservable,cvar05,overkill|overkill,834.0,16,0,0.0,0.010997295379638672,834.0,834.0,0.0,1.0,1.0,1.0,834.0,834.0,834.0,834.0,834.0,834.0,834.0,834.0,834.0000000000001,834.0,834.0000000000001,834.0,0.0,1.0,1.0,2000000.0,False
bsp_stress_unobservable,cvar10,overkill|overkill,834.0,16,0,0.0,0.011186838150024414,834.0,834.0,0.0,1.0,1.0,1.0,834.0,834.0,834.0,834.0,834.0,834.0,834.0,834.0,834.0000000000001,834.0,834.0000000000001,834.0,0.0,1.0,1.0,2000000.0,False
bsp_stress_unobservable,cvar25,overkill|overkill,834.0,16,0,0.0,0.011386871337890625,834.0,834.0,0.0,1.0,1.0,1.0,834.0,834.0,834.0,834.0,834.0,834.0,834.0,834.0,834.0000000000001,834.0,834.0000000000001,834.0,0.0,1.0,1.0,2000000.0,False
bsp_stress_unobservable,wowa_mild,overkill|overkill,834.0000000000001,16,0,0.0,0.011576652526855469,834.0,834.0,0.0,1.0,1.0,1.0,834.0,834.0,834.0,834.0,834.0,834.0,834.0,834.0,834.0000000000001,834.0,834.0000000000001,834.0,0.0,1.0,1.0,2000000.0,False
bsp_stress_unobservable,wowa_balanced,overkill|overkill,834.0,16,0,0.0,0.01177215576171875,834.0,834.0,0.0,1.0,1.0,1.0,834.0,834.0,834.0,834.0,834.0,834.0,834.0,834.0,834.0000000000001,834.0,834.0000000000001,834.0,0.0,1.0,1.0,2000000.0,False
bsp_stress_unobservable,wowa_severe,overkill|overkill,834.0000000000001,16,0,0.0,0.01196146011352539,834.0,834.0,0.0,1.0,1.0,1.0,834.0,834.0,834.0,834.0,834.0,834.0,834.0,834.0,834.0000000000001,834.0,834.0000000000001,834.0,0.0,1.0,1.0,2000000.0,False
bsp_stress_unobservable,governed_mean,cycle_A|cycle_A,1504979.0,16,0,0.0,0.012156963348388672,4979.0,9929.0,0.5,0.5,0.5,0.5,9929.0,9929.0,9929.0,9929.0,9929.0,9929.0,9929.0,9929.0,6477.413160193937,8122.987314317072,9638.808915561573,9929.0,0.5,0.5,0.5,1500000.0,False
bsp_stress_unobservable,governed_cvar05,cycle_A|cycle_A,1509929.0,16,0,0.0,0.012344598770141602,4979.0,9929.0,0.5,0.5,0.5,0.5,9929.0,9929.0,9929.0,9929.0,9929.0,9929.0,9929.0,9929.0,6477.413160193937,8122.987314317072,9638.808915561573,9929.0,0.5,0.5,0.5,1500000.0,False
bsp_stress_unobservable,governed_cvar25,cycle_A|cycle_A,1509929.0,16,0,0.0,0.012533903121948242,4979.0,9929.0,0.5,0.5,0.5,0.5,9929.0,9929.0,9929.0,9929.0,9929.0,9929.0,9929.0,9929.0,6477.413160193937,8122.987314317072,9638.808915561573,9929.0,0.5,0.5,0.5,1500000.0,False
bsp_stress_unobservable,governed_wowa_balanced,cycle_A|cycle_A,1508122.9873143171,16,0,0.0,0.012728691101074219,4979.0,9929.0,0.5,0.5,0.5,0.5,9929.0,9929.0,9929.0,9929.0,9929.0,9929.0,9929.0,9929.0,6477.413160193937,8122.987314317072,9638.808915561573,9929.0,0.5,0.5,0.5,1500000.0,False
bsp_stress_unobservable,governed_wowa_severe,cycle_A|cycle_A,1509638.8089155615,16,0,0.0,0.012922525405883789,4979.0,9929.0,0.5,0.5,0.5,0.5,9929.0,9929.0,9929.0,9929.0,9929.0,9929.0,9929.0,9929.0,6477.413160193937,8122.987314317072,9638.808915561573,9929.0,0.5,0.5,0.5,1500000.0,False
bsp_stress_unobservable,oracle_hidden_state,<scenario-dependent>,29.0,16,0,0.0,0.013152122497558594,29.0,29.0,0.0,0.0,0.0,0.0,29.0,28.999999999999996,29.0,29.000000000000004,29.0,29.000000000000004,29.0,29.0,29.000000000000004,29.0,29.0,29.000000000000004,0.0,0.0,0.0,0.0,True
